model,test_set,mAP50,mAP50-95,precision,recall,F1,AP50_swimmer,AP_swimmer,AP50_boat,AP_boat,AP50_jetski,AP_jetski,AP50_life_saving_appliances,AP_life_saving_appliances,AP50_buoy,AP_buoy
COCO_Pretrained,Real,0.07306275848151275,0.03813393113522705,0.08864780760167426,0.14312036042033763,0.10948226015307964,0.2196286729744759,0.08837868894206384,0.12695566304305103,0.09019802242153899,0.014870526704269017,0.009733190333278137,0.0,0.0,0.0038589296857678627,0.0023597539792542263
COCO_Pretrained,Synthetic,0.06641267613833987,0.032120069558205414,0.0826394685247891,0.08151773858982854,0.08207427104393925,0.1723524665684679,0.0633725213781486,0.13836957912843276,0.08769312027468665,0.01602890772865463,0.007209645141899741,0.0012964470454359292,0.00025928940908718584,0.004015980220708214,0.0020657715872048933
COCO_Pretrained,Mixed,0.06880044665669237,0.034489611647328715,0.0837189697900837,0.1367759199390346,0.1038635153104605,0.1908988461858081,0.07359372831170362,0.13315831027560107,0.0883739108768431,0.015116808923795638,0.008077200767551522,0.0009070356234557609,0.00018140712469115217,0.003921232274801217,0.0022218111558541817
Real_8262,Real,0.7083158388768839,0.41507185983199774,0.832657458248868,0.6741510929017857,0.7450668666954499,0.7305678593421479,0.3016765503470814,0.9505797968319869,0.7042141246932617,0.895752505481581,0.5624226354947077,0.3316996271988852,0.12514649249950113,0.6329794055298182,0.38189949612543694
Real_8262,Synthetic,0.4912452363811523,0.26926452284324875,0.7632039690057939,0.46713401736149845,0.579545214868914,0.4937814443215679,0.17216128331378103,0.8252292741961046,0.5105664596042747,0.6860300379394699,0.4110315243435333,0.030398038485196108,0.008612176725950778,0.4207873869634231,0.2439511702287039
Real_8262,Mixed,0.6036215873155972,0.3428530581612586,0.7838732129729304,0.5638391672160592,0.6558937918144809,0.6186372043734285,0.23891940022065755,0.8933049780585269,0.6117570690451642,0.7936316163668176,0.4830604022799303,0.18769289166709605,0.06883293618617509,0.5248412461121172,0.3116954830743662
Real_4131,Real,0.6872635179459727,0.39566249126773073,0.8234264144320834,0.6471710165264516,0.724735860510065,0.7130571947015123,0.28871561520592615,0.9368742113848438,0.6838055446866845,0.8853597825627593,0.5391897991215673,0.2649547301374161,0.09695261322904423,0.6360716709433324,0.3696488840954319
Real_4131,Synthetic,0.4932180849472335,0.2649192382388791,0.5848358133488772,0.45492653039937814,0.511765160831675,0.5042114267603055,0.17560768616010738,0.8296344714139843,0.5115936413522855,0.6690562272728698,0.38811714372410566,0.03763002183449793,0.007767560495527107,0.42555827745450997,0.24151015946236992
Real_4131,Mixed,0.5930942562308227,0.3308225954604056,0.7744547834083437,0.5535295297021672,0.6456149594478844,0.6132042725750033,0.2335745038569413,0.8881124101354653,0.6012405392531754,0.776410717977276,0.4601976899810363,0.15639796984021276,0.05377113509496047,0.5313459106261558,0.30532910911591454
Mixed,Real,0.709154007116929,0.4171922363876681,0.8506424085223181,0.674015253519999,0.7520974666775868,0.7246174571774961,0.2941478830161215,0.9541666934249522,0.7061768263945061,0.8949661628847952,0.5671396679423885,0.314831307389966,0.1305844968372468,0.6571884147074357,0.38791230774807783
Mixed,Synthetic,0.6711345813834885,0.38077866815885214,0.8215059381988047,0.6404311540785319,0.7197541385127552,0.6970186380578927,0.27266716378202716,0.9449719172224242,0.6628673805266913,0.8787547708536813,0.5405003577278552,0.18706944930548966,0.05270978602063473,0.6478581314779541,0.37514865273705256
Mixed,Mixed,0.6894992350485347,0.39828930970117865,0.8349983263942885,0.6565832322213379,0.7351197516712851,0.7103203778824783,0.2832583039845413,0.9492920114600161,0.6845925621213104,0.8843596511784062,0.5516551421003546,0.2515912453821273,0.09158318145419377,0.6519328893396461,0.3803573588454937
