epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,496.666,2.08249,2.48525,0.95255,0.4876,0.40316,0.40156,0.2127,1.8416,1.1379,0.8917,0.00110885,0.000369617,0.00110885,0.000369617,0.00110885,0.000369617,0.00110885,0.000369617
2,627.895,1.84434,1.02742,0.88163,0.81391,0.51371,0.54666,0.29377,1.77959,0.92938,0.88501,0.00213194,0.000710648,0.00213194,0.000710648,0.00213194,0.000710648,0.00213194,0.000710648
3,750.378,1.77583,0.86379,0.86884,0.80229,0.56253,0.58322,0.31721,1.75702,0.87365,0.88083,0.00306705,0.00102235,0.00306705,0.00102235,0.00306705,0.00102235,0.00306705,0.00102235
4,869.692,1.72045,0.79782,0.85597,0.80336,0.58034,0.60873,0.33749,1.70345,0.8175,0.87363,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
5,988.594,1.68971,0.76119,0.84687,0.77267,0.58734,0.61671,0.34336,1.6997,0.81302,0.87036,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
6,1108.13,1.64796,0.73139,0.8439,0.81104,0.59897,0.63392,0.35704,1.66704,0.76718,0.86938,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
7,1227.71,1.62058,0.71536,0.83965,0.79318,0.62068,0.64526,0.3616,1.66569,0.75673,0.86757,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
8,1346.45,1.59993,0.70164,0.83702,0.78143,0.61971,0.65373,0.36389,1.64829,0.75095,0.86773,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
9,1465.91,1.58166,0.68186,0.83394,0.79563,0.62598,0.65682,0.36726,1.65036,0.75192,0.87015,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
10,1585.15,1.5564,0.67349,0.82955,0.8077,0.62752,0.667,0.37619,1.63743,0.72795,0.86984,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
11,1704.47,1.53537,0.66001,0.8293,0.78848,0.63248,0.66342,0.3747,1.64402,0.74054,0.86886,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
12,1823.21,1.52743,0.65329,0.82748,0.77483,0.6449,0.67067,0.38426,1.59917,0.71989,0.87018,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
13,1942.04,1.5108,0.64264,0.82419,0.79453,0.63759,0.66677,0.3737,1.65461,0.72234,0.87661,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
14,2060.72,1.50871,0.64339,0.82416,0.80056,0.64413,0.67653,0.38366,1.61867,0.70367,0.87454,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
15,2179.91,1.48862,0.6307,0.82231,0.79469,0.64519,0.68303,0.38657,1.61527,0.70684,0.87086,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
16,2300.75,1.44607,0.62222,0.83123,0.7948,0.6477,0.67679,0.38197,1.62316,0.72126,0.86661,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
17,2418.83,1.4269,0.60893,0.82868,0.79401,0.64846,0.67353,0.38153,1.61804,0.71438,0.87291,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
18,2537,1.40884,0.60098,0.8236,0.81046,0.64133,0.67879,0.3829,1.61519,0.70571,0.87242,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
19,2655.8,1.39306,0.59278,0.82371,0.82748,0.64638,0.67936,0.38936,1.60445,0.69654,0.87443,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
20,2774.61,1.38244,0.5864,0.82233,0.83674,0.65219,0.68474,0.39211,1.61113,0.6899,0.87523,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
21,2893.69,1.37471,0.58082,0.82009,0.81939,0.65599,0.68543,0.39157,1.60778,0.69821,0.87138,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
22,3012.42,1.36565,0.57657,0.81941,0.81443,0.6567,0.69095,0.39395,1.60196,0.68938,0.87222,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
23,3131.16,1.34881,0.56981,0.81844,0.81935,0.65369,0.68376,0.39558,1.59273,0.68924,0.87259,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
24,3249.95,1.33446,0.56227,0.81632,0.81225,0.65663,0.68462,0.39267,1.60731,0.68605,0.87387,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
25,3368.53,1.32961,0.55987,0.81739,0.83117,0.65631,0.6893,0.39581,1.59864,0.6832,0.87286,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
