epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1356.07,2.00295,2.3273,0.93108,0.71433,0.42628,0.4405,0.24363,1.76318,1.07059,0.88825,0.00110885,0.000369617,0.00110885,0.000369617,0.00110885,0.000369617,0.00110885,0.000369617
2,1481.29,1.74639,0.94419,0.86688,0.84753,0.5397,0.58496,0.32625,1.71012,0.8775,0.88787,0.00213194,0.000710648,0.00213194,0.000710648,0.00213194,0.000710648,0.00213194,0.000710648
3,1599.36,1.69326,0.79913,0.85281,0.81298,0.58946,0.62343,0.34096,1.70288,0.83651,0.87751,0.00306705,0.00102235,0.00306705,0.00102235,0.00306705,0.00102235,0.00306705,0.00102235
4,1714.8,1.64133,0.7452,0.84624,0.83909,0.59728,0.64036,0.36016,1.64431,0.79344,0.86876,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
5,1829.68,1.60777,0.71096,0.83725,0.81052,0.60144,0.64242,0.36504,1.63066,0.76224,0.86508,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
6,1944.37,1.5609,0.68351,0.83259,0.81951,0.61315,0.65917,0.37491,1.58946,0.73986,0.86578,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
7,2059.27,1.54224,0.66983,0.83545,0.81895,0.6212,0.65463,0.37598,1.59444,0.72995,0.87033,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
8,2174.69,1.50521,0.6501,0.82676,0.80793,0.63938,0.6773,0.38817,1.60154,0.72211,0.86967,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
9,2289.83,1.49143,0.63625,0.82327,0.83085,0.64416,0.68153,0.39448,1.56762,0.70845,0.86344,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
10,2405.23,1.47545,0.63325,0.82109,0.85094,0.63862,0.68397,0.39067,1.56878,0.70088,0.8642,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
11,2520.3,1.45582,0.62246,0.81748,0.8214,0.65809,0.68547,0.39155,1.57651,0.70121,0.85793,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
12,2636.07,1.43776,0.61267,0.81807,0.82082,0.66053,0.68667,0.39854,1.55472,0.69273,0.86085,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
13,2751.15,1.41711,0.60044,0.81447,0.80916,0.67156,0.6991,0.39859,1.55456,0.68024,0.86378,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
14,2866.2,1.42576,0.60442,0.81484,0.83236,0.64939,0.69492,0.40404,1.55478,0.68625,0.86183,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
15,2981.53,1.40474,0.59091,0.81285,0.77434,0.67387,0.6932,0.40199,1.54173,0.67734,0.86368,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
16,3101.43,1.36759,0.59053,0.82217,0.79072,0.65651,0.67981,0.39676,1.56673,0.69834,0.86424,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
17,3215.68,1.34622,0.57924,0.81941,0.81302,0.66638,0.69692,0.40661,1.54824,0.6776,0.86055,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
18,3330.35,1.32679,0.56985,0.81782,0.82054,0.66231,0.6942,0.40412,1.5485,0.68391,0.86042,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
19,3444.82,1.31471,0.56348,0.81624,0.81704,0.66151,0.69351,0.40121,1.55938,0.68315,0.86337,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
20,3559.44,1.30463,0.55537,0.81178,0.83364,0.67028,0.70648,0.41159,1.52917,0.66909,0.85795,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
21,3673.78,1.30813,0.55729,0.81064,0.8188,0.66741,0.7047,0.40743,1.53031,0.66789,0.86164,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
22,3788.3,1.29407,0.5529,0.81421,0.84442,0.66703,0.71111,0.40912,1.53972,0.66699,0.86114,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
23,3902.43,1.27386,0.54238,0.81218,0.82846,0.67295,0.7088,0.40756,1.54008,0.66297,0.86232,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
24,4016.34,1.2527,0.53216,0.80897,0.83225,0.66901,0.70784,0.4094,1.53804,0.66179,0.86244,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
25,4129.85,1.25658,0.53084,0.80819,0.831,0.67217,0.70541,0.41113,1.53105,0.6582,0.86277,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
