epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,709.929,2.07173,2.81635,0.95213,0.58309,0.30559,0.28759,0.14887,1.89622,1.45927,0.92374,0.00110671,0.000368903,0.00110671,0.000368903,0.00110671,0.000368903,0.00110671,0.000368903
2,785.376,1.82701,1.15143,0.88357,0.72152,0.41522,0.43006,0.22815,1.85419,1.0958,0.91312,0.00212989,0.000709963,0.00212989,0.000709963,0.00212989,0.000709963,0.00212989,0.000709963
3,857.431,1.74588,0.90466,0.8691,0.75557,0.47904,0.49581,0.26171,1.82203,0.99769,0.89969,0.00306508,0.00102169,0.00306508,0.00102169,0.00306508,0.00102169,0.00306508,0.00102169
4,927.662,1.69091,0.80575,0.84874,0.79021,0.49576,0.53448,0.28531,1.81579,0.95974,0.90208,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
5,997.756,1.6554,0.75977,0.846,0.73815,0.50858,0.5388,0.28661,1.82088,0.9507,0.90864,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
6,1067.67,1.64287,0.73861,0.84457,0.77545,0.51868,0.55314,0.30656,1.77601,0.91623,0.89426,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
7,1138.21,1.58044,0.7079,0.8368,0.72917,0.52669,0.54309,0.29217,1.78734,0.93163,0.89212,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
8,1208.02,1.55962,0.69148,0.83441,0.74419,0.52502,0.538,0.29651,1.75618,0.91149,0.88704,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
9,1277.24,1.54885,0.67621,0.83029,0.78236,0.53656,0.5643,0.31393,1.75899,0.87706,0.89469,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
10,1347.11,1.52926,0.66767,0.82829,0.75589,0.53018,0.55656,0.30972,1.76293,0.88728,0.89327,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
11,1416.28,1.51698,0.65858,0.82732,0.76344,0.5248,0.54634,0.29961,1.75821,0.89111,0.89188,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
12,1485.61,1.49844,0.64885,0.82894,0.74672,0.54491,0.56713,0.31509,1.75251,0.86615,0.88822,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
13,1555.86,1.49035,0.64258,0.82486,0.73962,0.55338,0.57654,0.31775,1.74033,0.85852,0.8863,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
14,1625.37,1.48318,0.63741,0.82427,0.77198,0.54913,0.57458,0.318,1.7467,0.85654,0.88992,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
15,1695.21,1.45171,0.62102,0.81791,0.75595,0.54774,0.5842,0.32422,1.72033,0.8474,0.89016,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
16,1767.06,1.42461,0.62437,0.82805,0.74838,0.54877,0.58158,0.32356,1.73789,0.85706,0.88924,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
17,1835.71,1.41106,0.61278,0.82662,0.72304,0.56561,0.5861,0.32452,1.73522,0.85018,0.89215,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
18,1904.51,1.4075,0.61007,0.82646,0.76768,0.54154,0.58278,0.32157,1.73776,0.85694,0.89026,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
19,1972.51,1.39061,0.60481,0.82679,0.74416,0.55045,0.57825,0.31877,1.74675,0.85798,0.8921,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
20,2040.2,1.3702,0.594,0.82343,0.76067,0.55115,0.58032,0.32287,1.73803,0.85624,0.88905,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
21,2108.74,1.36588,0.58718,0.82344,0.77767,0.54727,0.5884,0.32528,1.73703,0.84459,0.89255,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
22,2177.49,1.3469,0.58042,0.82167,0.77219,0.54787,0.5883,0.32726,1.72854,0.84985,0.88948,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
23,2245.9,1.338,0.57447,0.81684,0.78192,0.54589,0.58992,0.32485,1.73384,0.85284,0.89102,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
24,2313.93,1.32404,0.56573,0.81907,0.78378,0.54524,0.58753,0.32642,1.73021,0.85701,0.89027,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
25,2382.3,1.33071,0.56855,0.82044,0.77227,0.55366,0.59187,0.32831,1.72819,0.84976,0.88948,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
